instance,method,seed,n_vehicles,E_cost,E_fuel,E_emission,E_recourse,CVaR_cost,worst_cost,P_late,E_late_min,P_overload,E_overload_m3,missed_nodes,infeas_speed_arcs,tau_mean,tau_std,secs
nyc_brooklyn,S-HGLS,3,6,30.972520304669985,28.17940761754726,66.50340197741153,2.7931126871227256,40.88331757607104,42.6494673788894,0.0,0.0,0.25,0.6465563435613629,0.0,3.0,,,1.1
nyc_brooklyn,LA-SHGLS,3,6,32.81057681151267,30.45436329463957,71.87229737534939,2.356213516873102,38.76333037904148,41.60878105995359,0.0,0.0,0.4,0.4156067584365508,0.0,3.05,,,1.1
dublin_real,D-HGLS,1,14,97.79236005719454,80.76304545190649,190.60078726649925,17.029314605288068,106.24997242918876,106.61708664869003,0.0,0.0,0.9,1.939657302644034,0.0,26.3,,,3.3
dublin_real,PTO-HGLS,1,14,97.79236005719454,80.76304545190649,190.60078726649925,17.029314605288068,106.24997242918876,106.61708664869003,0.0,0.0,0.9,1.939657302644034,0.0,26.3,,,3.3
dublin_real,Q-HGLS,1,14,104.5379819913522,92.12629678556983,217.4180604139448,12.411685205782389,111.09432729034276,111.71111227499723,0.0,0.0,0.3,0.3933426028911939,0.0,23.25,,,3.3
dublin_real,RO-Eco,1,20,122.88334713639162,109.10834713639164,257.4956992418842,13.775,128.99139902761425,130.3206621189419,0.0,0.0,0.0,0.0,0.0,27.55,,,3.4
dublin_real,S-HGLS,1,14,92.8857648457164,82.3064910607566,194.2433189033856,10.579273784959812,99.32235682053064,100.75850699518492,0.0,0.0,0.55,0.8771368924799061,0.0,17.65,,,3.0
dublin_real,LA-SHGLS,1,13,91.9564378509498,81.03170024861367,191.23481258672828,10.924737602336137,100.42141782014411,102.2816066566154,0.0,0.0,0.75,1.4498688011680687,0.0,16.05,,,3.0
dublin_real,D-HGLS,2,12,95.6371553910054,81.04112006496419,191.2570433533155,14.596035326041209,104.78822590117692,105.22717120187804,0.0,0.0,1.0,2.935517663020604,0.0,17.45,,,3.2
dublin_real,PTO-HGLS,2,12,95.6371553910054,81.04112006496419,191.2570433533155,14.596035326041209,104.78822590117692,105.22717120187804,0.0,0.0,1.0,2.935517663020604,0.0,17.45,,,3.2
dublin_real,Q-HGLS,2,15,104.8461144863452,90.89887945713514,214.5213555188389,13.94723502921008,112.1512892700964,112.1717902639725,0.0,0.0,0.75,1.7736175146050406,0.0,20.8,,,3.3
dublin_real,RO-Eco,2,21,123.70185877039007,111.26703483263444,262.5902022050173,12.43482393775562,127.76338404641854,128.42481125451883,0.0,0.0,0.05,0.0049119688778095,0.0,24.85,,,3.5
dublin_real,S-HGLS,2,12,101.2000909892624,90.01577421449818,212.4372271462157,11.184316774764197,108.51838105260096,108.67662153653468,0.0,0.0,0.9,2.0171583873820977,0.0,14.3,,,3.0
dublin_real,LA-SHGLS,2,12,88.40962768564705,78.85449583562516,186.09661017207537,9.555131850021912,96.68072962252565,97.66405615666552,0.0,0.0,0.7,1.8400659250109548,0.0,11.75,,,3.0
dublin_real,D-HGLS,3,12,102.41986824180628,88.26350225732999,208.3018653272988,14.156365984476292,114.3060924840638,118.40327714798543,0.0,0.0,0.9,2.540682992238147,0.0,18.15,,,5.3
dublin_real,PTO-HGLS,3,12,102.41986824180628,88.26350225732999,208.3018653272988,14.156365984476292,114.3060924840638,118.40327714798543,0.0,0.0,0.9,2.540682992238147,0.0,18.15,,,5.6
dublin_real,Q-HGLS,3,16,113.90345572143416,102.03947275596384,240.81315570407463,11.863982965470338,120.12402538020814,122.8684606279356,0.0,0.0,0.15,0.3694914827351697,0.0,22.25,,,5.7
dublin_real,RO-Eco,3,19,129.53653504262326,115.73303522051113,273.12996312040616,13.803499822112116,133.7349432925564,134.02762036170728,0.0,0.0,0.1,0.2017499110560586,0.0,26.8,,,5.5
dublin_real,S-HGLS,3,12,102.02606086675615,91.3202360721071,215.5157571301728,10.705824794649082,115.44416202126538,116.91533329114216,0.0,0.0,0.85,2.5529123973245404,0.0,11.2,,,4.6
dublin_real,LA-SHGLS,3,13,96.07401883923852,84.58705553396904,199.62545106016685,11.486963305269503,112.8018233775014,114.22128768053916,0.0,0.0,0.9,2.843481652634752,0.0,11.6,,,4.7
peshawar_real,D-HGLS,1,18,99.70362337929647,82.14117158151421,193.8531649323736,17.562451797782266,113.85581208890945,119.48208310865044,0.65,2.4552714683015155,0.85,3.394844112183595,0.0,21.3,,,4.3
