family,rep,method,kind,mag,E_cost,E_fuel,E_emission,E_recourse,CVaR_cost,P_trigger,E_returns,E_return_km,P_late,E_late_min,P_defer,n_veh
solomon_c101,1,DET,demand_mean,0.1,487.53391,456.13572,1076.4803,31.39819,556.20585,0.645,0.81,56.16514,1.0,328.41378,0.0,22.0
solomon_c101,1,DET,demand_mean,0.2,510.82082,472.89909,1116.04186,37.92172,587.12188,0.8,1.245,86.45034,1.0,441.48441,0.0,22.0
solomon_c101,1,DET,demand_mean,0.3,534.70479,489.71371,1155.72436,44.99107,618.00747,0.915,1.75,118.62844,1.0,562.67144,0.0,22.0
solomon_c101,1,DET,demand_var,0.25,468.26309,440.59944,1039.81468,27.66364,535.18163,0.42,0.49,33.25057,1.0,266.52289,0.0,22.0
solomon_c101,1,DET,demand_var,0.5,469.27541,441.27729,1041.41441,27.99812,541.37342,0.435,0.555,36.79422,1.0,270.61239,0.0,22.0
solomon_c101,1,DET,congestion,0.1,471.8577,440.11265,1038.66586,31.74505,540.52633,0.395,0.44,30.55542,1.0,350.15091,0.0,22.0
solomon_c101,1,DET,congestion,0.2,477.17893,440.11265,1038.66586,37.06627,549.88868,0.395,0.44,30.55542,1.0,456.57549,0.0,22.0
solomon_c101,1,DET,feas_drop,0.2,467.14803,440.11265,1038.66586,27.03538,532.09434,0.395,0.44,30.55542,1.0,255.95756,0.0,22.0
solomon_c101,1,SAA,demand_mean,0.1,423.47842,402.61207,950.16449,20.86635,504.77755,0.56,0.85,48.12172,1.0,114.62698,0.005,19.0
solomon_c101,1,SAA,demand_mean,0.2,449.51385,421.96135,995.8288,27.55249,547.207,0.74,1.59,91.36244,1.0,218.74987,0.005,19.0
solomon_c101,1,SAA,demand_mean,0.3,479.05085,442.48252,1044.25875,36.56833,593.42874,0.895,2.47,141.75466,1.0,358.86667,0.01,19.0
solomon_c101,1,SAA,demand_var,0.25,403.60304,386.27624,911.61192,17.3268,468.77183,0.29,0.4,21.93891,1.0,66.83603,0.0,19.0
solomon_c101,1,SAA,demand_var,0.5,405.11354,387.06654,913.47703,18.047,479.32508,0.325,0.465,25.8558,1.0,78.64002,0.0,19.0
solomon_c101,1,SAA,congestion,0.1,403.74705,385.51002,909.80364,18.23704,467.4981,0.245,0.315,18.05499,1.0,88.44071,0.0,19.0
solomon_c101,1,SAA,congestion,0.2,406.40047,385.51002,909.80364,20.89046,474.47105,0.245,0.315,18.05499,1.0,141.50916,0.0,19.0
solomon_c101,1,SAA,feas_drop,0.2,402.22705,385.51002,909.80364,16.71703,462.3774,0.245,0.315,18.05499,1.0,58.04059,0.0,19.0
solomon_c101,1,Q90C,demand_mean,0.1,509.03327,397.16783,937.31609,111.86543,567.57545,0.125,0.165,7.48309,1.0,1998.70863,0.0,17.0
solomon_c101,1,Q90C,demand_mean,0.2,524.12196,410.89105,969.70288,113.2309,593.03839,0.26,0.39,19.02844,1.0,2017.01809,0.0,17.0
solomon_c101,1,Q90C,demand_mean,0.3,544.28574,427.40843,1008.6839,116.87731,637.45718,0.45,0.865,44.66587,1.0,2070.94621,0.0,17.0
solomon_c101,1,Q90C,demand_var,0.25,496.58924,385.14304,908.93758,111.4462,550.97926,0.08,0.095,4.36927,1.0,1993.12397,0.0,17.0
solomon_c101,1,Q90C,demand_var,0.5,497.37144,385.49422,909.76636,111.87722,556.46194,0.125,0.155,6.90677,1.0,1999.34434,0.0,17.0
solomon_c101,1,Q90C,congestion,0.1,501.02024,384.823,908.18228,116.19724,553.3273,0.06,0.07,2.77848,1.0,2089.14481,0.0,17.0
solomon_c101,1,Q90C,congestion,0.2,507.24658,384.823,908.18228,122.42358,563.80759,0.06,0.07,2.77848,1.0,2213.67167,0.0,17.0
solomon_c101,1,Q90C,feas_drop,0.2,496.11206,384.823,908.18228,111.28906,545.2042,0.06,0.07,2.77848,1.0,1990.98123,0.0,17.0
solomon_c101,1,RO,demand_mean,0.1,483.5579,465.72737,1099.11658,17.83053,524.47415,0.005,0.005,0.40311,1.0,78.41058,0.0,27.0
solomon_c101,1,RO,demand_mean,0.2,493.88584,475.88195,1123.08141,18.00389,538.2653,0.035,0.04,2.48673,1.0,80.47773,0.0,27.0
solomon_c101,1,RO,demand_mean,0.3,504.62782,486.33154,1147.74242,18.29628,552.54256,0.085,0.095,6.0562,1.0,84.12564,0.0,27.0
solomon_c101,1,RO,demand_var,0.25,473.86231,456.01566,1076.19695,17.84665,515.13207,0.005,0.005,0.39357,1.0,78.73307,0.0,27.0
solomon_c101,1,RO,demand_var,0.5,473.9458,456.08792,1076.3675,17.85788,516.29926,0.01,0.01,0.727,1.0,78.7576,0.0,27.0
solomon_c101,1,RO,congestion,0.1,475.19768,455.93109,1075.99738,19.26659,516.37564,0.0,0.0,0.0,1.0,107.33179,0.0,27.0
solomon_c101,1,RO,congestion,0.2,477.37622,455.93109,1075.99738,21.44512,521.77179,0.0,0.0,0.0,1.0,150.90247,0.0,27.0
solomon_c101,1,RO,feas_drop,0.2,473.74596,455.93109,1075.99738,17.81487,512.62366,0.0,0.0,0.0,1.0,78.29731,0.0,27.0
solomon_c101,1,DFR,demand_mean,0.1,423.47842,402.61207,950.16449,20.86635,504.77755,0.56,0.85,48.12172,1.0,114.62698,0.005,19.0
solomon_c101,1,DFR,demand_mean,0.2,449.51385,421.96135,995.8288,27.55249,547.207,0.74,1.59,91.36244,1.0,218.74987,0.005,19.0
solomon_c101,1,DFR,demand_mean,0.3,479.05085,442.48252,1044.25875,36.56833,593.42874,0.895,2.47,141.75466,1.0,358.86667,0.01,19.0
solomon_c101,1,DFR,demand_var,0.25,403.60304,386.27624,911.61192,17.3268,468.77183,0.29,0.4,21.93891,1.0,66.83603,0.0,19.0
solomon_c101,1,DFR,demand_var,0.5,405.11354,387.06654,913.47703,18.047,479.32508,0.325,0.465,25.8558,1.0,78.64002,0.0,19.0
solomon_c101,1,DFR,congestion,0.1,403.74705,385.51002,909.80364,18.23704,467.4981,0.245,0.315,18.05499,1.0,88.44071,0.0,19.0
solomon_c101,1,DFR,congestion,0.2,406.40047,385.51002,909.80364,20.89046,474.47105,0.245,0.315,18.05499,1.0,141.50916,0.0,19.0
solomon_c101,1,DFR,feas_drop,0.2,402.22705,385.51002,909.80364,16.71703,462.3774,0.245,0.315,18.05499,1.0,58.04059,0.0,19.0
solomon_c101,2,DET,demand_mean,0.1,460.84685,388.60166,917.09991,72.24519,588.35982,0.87,2.055,152.23226,1.0,1056.05379,0.0,19.0
solomon_c101,2,DET,demand_mean,0.2,505.51117,413.06948,974.84396,92.44169,640.26786,0.96,3.075,222.6279,1.0,1419.18381,0.0,19.0
solomon_c101,2,DET,demand_mean,0.3,553.17139,438.20645,1034.16722,114.96495,703.39009,1.0,4.125,297.24192,1.0,1827.64891,0.0,19.0
solomon_c101,2,DET,demand_var,0.25,420.72846,363.99,859.0164,56.73846,540.30059,0.585,1.155,82.96006,1.0,781.91918,0.0,19.0
solomon_c101,2,DET,demand_var,0.5,423.27368,364.90557,861.17715,58.36811,547.63146,0.61,1.215,87.5506,1.0,812.11222,0.0,19.0
solomon_c101,2,DET,congestion,0.1,434.02579,363.31033,857.41239,70.71546,552.08656,0.57,1.085,79.32526,1.0,1064.25918,0.0,19.0
